trip_scope,trip_type,min_budget,max_budget,group_type,travel_month,recommended_destination
International,"Adventure,Wildlife,Nature,Cultural",180486,455214,"Couple,Family","December,September,January",Canada
International,"Beach,Wildlife",113955,275334,"Couple,Family","September,August,June",South Africa
Domestic,"Pilgrimage,Nature",9848,32847,"Solo,Friends",November,Rishikesh
International,"Luxury,Cultural,Nature",137751,291965,"Friends,Couple",October,Italy
International,"Cultural,Beach,Luxury",102869,283000,"Family,Friends","October,May,September",Greece
International,Wildlife,155766,395521,"Couple,Family",September,Tanzania
Domestic,"Nature,Wildlife",20408,56721,"Friends,Family","December,March,April",Kaziranga
Domestic,"Relaxation,Beach",13682,46846,Friends,"January,November",Goa
Domestic,Nature,15838,35699,Solo,April,Ziro Valley
International,"Adventure,Beach,Nature",34541,100530,"Solo,Friends","March,September",Vietnam
Domestic,"Nature,Cultural",10290,27328,"Couple,Friends","November,March,October",Hampi
Domestic,"Cultural,Pilgrimage",8067,27107,"Couple,Solo","September,January",Tirupati
Domestic,"Relaxation,Beach,Cultural",8926,30071,"Solo,Couple","October,February,January",Pondicherry
International,Nature,146509,405914,"Family,Couple","February,December",Switzerland
International,Beach,69264,199642,Friends,March,Dubai
International,"Wildlife,Nature",161398,378519,"Couple,Solo",March,New Zealand
Domestic,Adventure,34870,86824,"Couple,Friends","December,April,October",Lakshadweep
International,"Relaxation,Adventure,Beach",102832,249007,Family,November,Mexico
Domestic,"Adventure,Cultural",16288,34968,"Friends,Couple",March,Ziro Valley
International,"Wildlife,Adventure,Nature,Beach,Cultural",170216,494617,Couple,October,Australia
Domestic,Nature,13199,33685,"Couple,Solo","May,November",Darjeeling
International,"Wildlife,Nature,Adventure,Cultural,Beach",208113,530967,"Family,Couple",September,Australia
Domestic,"Adventure,Beach",30292,70535,Friends,"February,December",Andaman Islands
International,Beach,49341,120642,Family,"February,November",Thailand
Domestic,"Beach,Nature",31760,77562,"Family,Friends","March,December,January",Andaman Islands
International,"Beach,Cultural,Adventure",43579,110299,Couple,"August,February,April",Vietnam
Domestic,"Nature,Adventure,Cultural",14197,41275,Couple,October,Meghalaya
Domestic,Relaxation,10206,26187,"Couple,Friends","December,September",Mysuru
International,"Relaxation,Cultural",148513,375105,"Friends,Solo","June,October",Paris
Domestic,Nature,15520,43093,Family,February,Coorg
International,"Adventure,Wildlife,Nature,Cultural",112802,275802,Friends,"August,April",Peru
Domestic,"Cultural,Relaxation,Beach",15221,49821,"Couple,Friends",November,Goa
International,"Beach,Nature,Adventure,Wildlife",134934,349997,Couple,March,Costa Rica
Domestic,"Pilgrimage,Cultural",8535,29205,"Family,Solo",December,Varanasi
Domestic,"Relaxation,Nature",8562,30983,Friends,October,Ooty
Domestic,"Cultural,Pilgrimage",8320,25495,Solo,"December,February,October",Amritsar
International,Adventure,21791,63784,Friends,November,Nepal
Domestic,Relaxation,9272,29476,Friends,April,Ooty
